Log file created: Fri Dec  7 14:03:27 2018
Ticks = 396953      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN CIN Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN EI Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN YM Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN JSX Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396954      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN PS3 Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN RLA Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN ZPIC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396955      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396963      <123145598623744> <ALOG> <5> COR CORp_ShutdownPSL successfully shutdown AdobePSL
Ticks = 396964      <4325537216> <ALOG> <5> TXT Death TXT Death
Ticks = 396964      <4325537216> <ALOG> <5> TXT Death TXT_ShutdownGlobalDocumentResources called successfully.
Ticks = 396964      <4325537216> <ALOG> <5> TXT Death TXT_FontServer::FontServer ()->FreeFontServer() called successfully.
Ticks = 396964      <4325537216> <ALOG> <5> TXT Death SLO::FreeAutoPtrInternalMemory() called successfully.
Ticks = 396965      <4325537216> <ALOG> <5> TXT Death SLO::SLOTerminate () called successfully.
